Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R26,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-158.925,0.0,bottom
R27,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-156.325,0.0,bottom
R28,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-153.825,0.0,bottom
R29,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-151.325,0.0,bottom
R3,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-217.325,0.0,bottom
R30,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-148.725,0.0,bottom
R31,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-146.225,0.0,bottom
R32,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-143.625,0.0,bottom
R33,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-143.625,180.0,bottom
R34,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-146.25,180.0,bottom
R35,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-148.725,180.0,bottom
R36,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-151.325,180.0,bottom
R37,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-153.825,180.0,bottom
R38,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-156.325,180.0,bottom
R39,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-158.925,180.0,bottom
R4,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-214.75,0.0,bottom
R40,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-161.5,180.0,bottom
R41,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-164.0,180.0,bottom
R42,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-166.525,180.0,bottom
R43,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-169.0,180.0,bottom
R44,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-171.625,180.0,bottom
R45,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-174.25,180.0,bottom
R46,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-176.725,180.0,bottom
R47,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-179.225,180.0,bottom
R48,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-181.725,180.0,bottom
R49,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-184.25,0.0,bottom
R5,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-212.25,0.0,bottom
R50,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-186.825,180.0,bottom
R51,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-189.325,180.0,bottom
R52,820,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-191.925,180.0,bottom
R53,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-197.025,180.0,bottom
R54,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-199.525,180.0,bottom
R55,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-202.025,180.0,bottom
R56,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-204.625,180.0,bottom
R57,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-207.125,180.0,bottom
R58,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-209.725,180.0,bottom
R59,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-212.225,180.0,bottom
R6,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-209.75,180.0,bottom
R60,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-214.75,180.0,bottom
R61,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-217.325,180.0,bottom
R62,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-219.925,180.0,bottom
